5.7,3,"[0.1609993896484375, -8.934568359375, -11.386666870117187]","[-19.7906494140625, -33.4014892578125, -3.35693359375]"
5.8,3,"[-4.667186767578125, -9.614476562499998, -0.44289794921875]","[-19.744873046875, -21.8353271484375, 8.6517333984375]"
5.9,3,"[5.211831542968749, -9.817371704101562, -5.418317749023437]","[-5.31005859375, 13.5498046875, 7.568359375]"
6,3,"[-2.8201826171874997, -12.125229125976562, 3.956754516601562]","[-3.173828125, -26.031494140625, 7.6904296875]"
6.1,3,"[1.621964111328125, -10.667855468749998, -0.5476373291015625]","[3.2196044921875, -20.01953125, -3.7994384765625]"
6.2,3,"[5.696026733398437, -19.60960595703125, -8.722097045898437]","[10.3912353515625, 7.87353515625, -4.2724609375]"
6.3,3,"[-5.1304340820312495, 10.639725463867187, 4.277556274414062]","[-14.9078369140625, -181.2744140625, 19.7296142578125]"
6.4,3,"[-1.3592178955078125, -4.567235473632812, 10.32550732421875]","[-42.05322265625, 4.425048828125, 6.7901611328125]"
6.5,3,"[-3.851416625976562, -12.96374267578125, -19.604817871093747]","[-15.9149169921875, 13.2293701171875, -15.4571533203125]"
6.6,3,"[-7.990716918945312, -19.60960595703125, 14.246949707031249]","[-61.9964599609375, -120.452880859375, 2.655029296875]"
6.7,3,"[-4.594766967773437, -4.142292846679688, 8.645487670898437]","[-43.548583984375, 123.779296875, -17.120361328125]"
6.8,3,"[1.22335595703125, -12.999054809570312, -3.166121826171875]","[3.9215087890625, -29.8004150390625, -12.481689453125]"
6.9,3,"[5.8941337890625, -1.574083251953125, 7.692060058593749]","[47.36328125, 24.5513916015625, 6.0272216796875]"
7,3,"[2.7669151611328124, -15.5852197265625, 4.086631347656249]","[18.85986328125, -5.7220458984375, -20.7672119140625]"
7.1,3,"[0.11371704101562499, -8.819055786132811, 1.164701904296875]","[19.012451171875, -120.4681396484375, -3.2501220703125]"
7.2,3,"[-2.620280029296875, -13.780111328124999, -3.498893798828125]","[6.561279296875, -33.3404541015625, 0.9613037109375]"
7.3,3,"[5.277667724609374, -7.87879541015625, -12.552565795898436]","[11.5509033203125, -202.2705078125, 4.608154296875]"
7.4,3,"[1.5238083496093748, -7.5980938720703115, 18.07741845703125]","[10.1470947265625, 70.7855224609375, 6.3323974609375]"
