2.4,1,"[-1.9379777832031249, -8.854966430664062, 5.691837158203125]","[2.25830078125, 6.2713623046875, 0.640869140625]"
2.5,1,"[-0.6236481933593749, -7.31858935546875, 18.877627319335936]","[7.7972412109375, 34.2864990234375, -1.9073486328125]"
2.6,1,"[-0.1813487548828125, -15.828813598632811, -0.33277197265624997]","[1.64794921875, -4.974365234375, 2.685546875]"
2.7,1,"[-0.5266894531249999, -12.362239379882812, 3.702985961914062]","[10.2691650390625, 7.7056884765625, -2.50244140625]"
2.8,1,"[-0.08319299316406249, -11.414198364257812, 4.88624169921875]","[11.8255615234375, 32.3638916015625, -5.18798828125]"
2.9,1,"[5.097515991210937, -15.34761096191406, -14.237373535156248]","[6.16455078125, 52.55126953125, -10.894775390625]"
3,1,"[-1.4507900390625, -10.89050146484375, -9.129084350585936]","[7.7972412109375, 45.7305908203125, -9.9029541015625]"
3.1,1,"[1.5932355957031248, -11.871460571289061, 8.845390258789061]","[4.669189453125, 49.3927001953125, -5.2642822265625]"
3.2,1,"[-1.1581182861328123, -15.115987304687499, 5.27407666015625]","[20.3094482421875, 50.0335693359375, -13.85498046875]"
3.3,1,"[-0.8349224853515624, -7.0354937744140615, -5.052029174804687]","[1.0528564453125, 12.9852294921875, -5.4779052734375]"
3.4,1,"[-1.7069526367187497, -12.625584106445311, 9.399611206054686]","[8.3465576171875, -37.7349853515625, -6.1798095703125]"
3.5,1,"[-2.5706036376953123, -7.1324525146484365, 2.57838427734375]","[-1.89208984375, 16.2200927734375, -0.823974609375]"
3.6,1,"[-1.1359733886718748, -1.5022619628906249, -9.631833374023437]","[-3.60107421875, 17.4560546875, -1.46484375]"
3.7,1,"[-0.3010509033203125, -11.318436645507811, 19.54197424316406]","[6.927490234375, 41.168212890625, 4.5166015625]"
3.8,1,"[-4.581599731445312, -13.192972290039062, 4.28773095703125]","[14.09912109375, 80.3070068359375, -2.4566650390625]"
3.9,1,"[4.054311767578125, -19.60960595703125, -7.137240600585937]","[7.62939453125, 35.2325439453125, -10.2081298828125]"
4,1,"[1.3891434326171874, -11.281927490234374, 4.433767578125]","[15.7470703125, 23.5137939453125, -11.16943359375]"
4.1,1,"[1.943962890625, -11.995352294921874, -0.13885449218749998]","[19.7296142578125, 5.5389404296875, -13.3819580078125]"
4.2,1,"[-0.12688427734375, -8.12059375, -5.119062377929687]","[9.674072265625, 17.8375244140625, -14.7857666015625]"
4.3,1,"[-0.07541235351562499, -12.517852172851562, -10.797732299804686]","[10.009765625, -8.6212158203125, -14.6331787109375]"
4.4,1,"[-1.618373046875, -9.372079711914061, 2.671751953125]","[0.244140625, -13.3819580078125, -9.5062255859375]"
4.5,1,"[-0.549432861328125, -11.893006958007811, 12.467577270507812]","[12.8173828125, -5.096435546875, -3.6773681640625]"
4.6,1,"[-5.3243515624999995, -9.065642211914062, 4.1063822021484375]","[-5.5694580078125, 28.3355712890625, -7.049560546875]"
4.7,1,"[-1.7614171142578123, -11.441131347656249, -18.991942871093748]","[-5.5999755859375, 0.4119873046875, -6.103515625]"
4.8,1,"[0.49317285156249996, -9.30564501953125, -16.067020874023434]","[1.0986328125, 25.20751953125, -4.1046142578125]"
4.9,1,"[-3.446823364257812, -9.264946289062499, -12.316154052734374]","[2.4566650390625, -2.8839111328125, -4.302978515625]"
5,1,"[0.228631103515625, -6.9283603515625, 19.601226806640625]","[12.603759765625, -4.3182373046875, -10.711669921875]"
5.1,1,"[-0.2028951416015625, -5.816327392578125, -4.94369873046875]","[-2.7618408203125, -27.4658203125, -10.7269287109375]"
5.2,1,"[-0.791231201171875, -6.025806152343749, -11.568015625]","[-1.800537109375, -18.73779296875, -5.06591796875]"
5.3,1,"[-1.1569212646484375, -12.774014770507812, 0.32918090820312496]","[9.0789794921875, -17.27294921875, -0.946044921875]"
5.4,1,"[0.31182409667968747, -11.215492797851562, 0.9642008056640624]","[0.4730224609375, -2.7923583984375, 1.52587890625]"
5.5,1,"[0.049077880859375, -8.302541015625, -2.742376220703125]","[2.4871826171875, -15.6097412109375, 2.685546875]"
5.6,1,"[-0.5087341308593749, -9.059058593749999, -8.938159423828123]","[-6.4239501953125, -16.7083740234375, 9.09423828125]"
5.7,1,"[0.5877375488281249, -7.927274780273437, -6.335236206054687]","[-3.7078857421875, 0.9307861328125, 4.57763671875]"
5.8,1,"[0.6613543701171875, -14.5318408203125, 14.960374511718749]","[-2.6702880859375, 0.6561279296875, 5.950927734375]"
5.9,1,"[-0.7104322509765625, -11.2855185546875, -2.8890113525390624]","[-3.0059814453125, 16.9525146484375, 10.1776123046875]"
